file_name,file_path,page,vendor_name,ticket_number,ROI Image Link
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,36,Portillo,320041,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,35,CorpoTechs,013305,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,38,Portillo,309768,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,34,Roadstar,218679,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,39,CorpoTechs,17688,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,42,Roadstar,212903,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,41,Roadstar,213050,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,40,CorpoTechs,17435,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,45,Portillo,302597,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,44,CorpoTechs,17510,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,43,Portillo,302666,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,49,CorpoTechs,15492,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,48,CorpoTechs,11047,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,47,CorpoTechs,014394,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,46,CorpoTechs,16918,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,50,CorpoTechs,08590,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,51,Portillo,307960,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,52,Roadstar,169941,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,55,Roadstar,212678,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,54,Portillo,311448,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,53,Roadstar,219402,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,62,Roadstar,219057,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,61,Portillo,309326,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,66,Roadstar,76477,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,63,Roadstar,212682,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,57,Portillo,312004,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,59,Portillo,320040,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,65,Portillo,288542,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,56,CorpoTechs,15061,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,60,Portillo,309767,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,64,CorpoTechs,19439,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,58,Roadstar,206012,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,67,CorpoTechs,08595,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,68,Portillo,288501,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,69,Portillo,302670,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,70,Portillo,302626,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,71,Roadstar,219380,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,72,CorpoTechs,001462,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,73,Portillo,311506,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,74,CorpoTechs,19605,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,76,CorpoTechs,014283,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,81,Portillo,302725,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,79,Portillo,308682,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,75,Portillo,309771,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,78,Roadstar,212681,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,82,Roadstar,212679,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,77,Roadstar,213083,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,80,CorpoTechs,11874,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,84,Roadstar,212680,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,83,Portillo,308681,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,85,Portillo,302724,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,86,CorpoTechs,11873,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,88,Roadstar,200445,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,87,Roadstar,169943,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,89,CorpoTechs,10436,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,90,Portillo,316727,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,91,Roadstar,219404,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,95,Roadstar,206014,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,94,Roadstar,212847,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,98,Portillo,309328,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,97,Portillo,3166217,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,92,Portillo,288540,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,96,CorpoTechs,17511,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,93,CorpoTechs,013306,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,99,Portillo,312006,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,103,Portillo,308679,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,101,Roadstar,219127,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,102,CorpoTechs,17436,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,104,Roadstar,219054,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,100,Roadstar,204494,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,105,Roadstar,212904,View ROI
